ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth (m),Area (m2),Estimated coordinates,Reference,ANP,Protection Level,Validation,Estimated Area,Area Loss,Loss Index,Pollution ,Coastal.Modification,Biological.Resource.Use,MHWs,Minning,Threat index ,Red List Category,Zone,State,Region
1,Halodule wrightii,2017,May,Campos-Davila,Balandra,24.32,-110.33,DD,24,No,Seagrass Halodule wrightii as a new habitat for the amphioxus Branchiostoma californiense (Cephalochordata. Branchiostomidae) in the southern Gulf of California. Mexico,Area de Proteccion de Flora y Fauna Balandra,2,No,0,24,,0,0,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
2,Halodule wrightii,2017,May,Campos-Davila,Balandra,24.32,-110.33,DD,24,No,Seagrass Halodule wrightii as a new habitat for the amphioxus Branchiostoma californiense (Cephalochordata. Branchiostomidae) in the southern Gulf of California. Mexico,Area de Proteccion de Flora y Fauna Balandra,2,No,0,24,,0,0,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
3,Halodule wrightii,2008,DD,CONANP,Isla Gaviota,24.31,-110.33,2,1500,Yes,Estudio previo justificativo para el estableciemiento del area natural protegida. Area de proteccion flora y fauna Balandra,No,0,No,0,1500,,1,1,0,0.04274,0,,,La Paz,Baja California Sur,Southern Gulf
4,Halodule wrightii,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,0,Yes,DD,DD,,1,1,0,0.06077,0,,,Bahia Concepcion,Baja California Sur,Central Gulf
5,Ruppia maritima,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,0,Yes,DD,DD,,1,1,0,0.06077,0,,,Bahia Concepcion,Baja California Sur,Central Gulf
6,Zostera marina,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,0,Yes,DD,DD,,1,1,0,0.06077,0,,,Bahia Concepcion,Baja California Sur,Central Gulf
7,Zostera marina,2013,DD,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.19,DD,7000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
8,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Perla,29.23,-112.3,DD,358100,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,325399.96,32700.04,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
9,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Ohna,29.07,-112.19,DD,642400,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,1084736.25,-442336.25,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
10,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Estero El Sargento,29.01,-112.16,DD,11620000,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,537047.13,11082952.87,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
